6 ( 1 3 5 )
8 ( 1 3 6 )
10 ( 1 3 7 )
12 ( 1 3 8 )
14 ( 1 3 9 )
16 ( 1 3 10 )

4 ( 1 4 4 )
5 ( 1 4 5 )
7 ( 1 4 6 )
9 ( 1 4 7 )
11 ( 1 4 8 )
13 ( 1 4 9 )
15 ( 1 4 10 )

5 ( 1 5 5 )
6 ( 1 5 6 )
8 ( 1 5 7 )
10 ( 1 5 8 )
12 ( 1 5 9 )
14 ( 1 5 10 )

6 ( 1 6 6 )
7 ( 1 6 7 )
9 ( 1 6 8 )
11 ( 1 6 9 )
13 ( 1 6 10 )

7 ( 1 7 7 )
8 ( 1 7 8 )
10 ( 1 7 9 )
12 ( 1 7 10 )

8 ( 1 8 8 )
9 ( 1 8 9 )
11 ( 1 8 10 )

9 ( 1 9 9 )
10 ( 1 9 10 )

10 ( 1 10 10 )

 
2 ( 2 2 2 )
3 ( 2 2 3 )
4 ( 2 2 4 )
6 ( 2 2 5 )
8 ( 2 2 6 )
10 ( 2 2 7 )
12 ( 2 2 8 )
14 ( 2 2 9 )
16 ( 2 2 10 )

3 ( 2 3 3 )
4 ( 2 3 4 )
5 ( 2 3 5 )
7 ( 2 3 6 )
9 ( 2 3 7 )
11 ( 2 3 8 )
13 ( 2 3 9 )
15 ( 2 3 10 )

4 ( 2 4 4 )
5 ( 2 4 5 )
6 ( 2 4 6 )
8 ( 2 4 7 )
10 ( 2 4 8 )
12 ( 2 4 9 )
14 ( 2 4 10 )

5 ( 2 5 5 )
6 ( 2 5 6 )
7 ( 2 5 7 )
9 ( 2 5 8 )
11 ( 2 5 9 )
13 ( 2 5 10 )

6 ( 2 6 6 )
7 ( 2 6 7 )
8 ( 2 6 8 )
10 ( 2 6 9 )
12 ( 2 6 10 )

7 ( 2 7 7 )
8 ( 2 7 8 )
9 ( 2 7 9 )
11 ( 2 7 10 )

8 ( 2 8 8 )
9 ( 2 8 9 )
10 ( 2 8 10 )

9 ( 2 9 9 )
10 ( 2 9 10 )

10 ( 2 10 10 )

 
3 ( 3 3 3 )
4 ( 3 3 4 )
5 ( 3 3 5 )
6 ( 3 3 6 )
8 ( 3 3 7 )
10 ( 3 3 8 )
12 ( 3 3 9 )
14 ( 3 3 10 )

4 ( 3 4 4 )
5 ( 3 4 5 )
6 ( 3 4 6 )
7 ( 3 4 7 )
9 ( 3 4 8 )
11 ( 3 4 9 )
13 ( 3 4 10 )

5 ( 3 5 5 )
6 ( 3 5 6 )
7 ( 3 5 7 )
8 ( 3 5 8 )
10 ( 3 5 9 )
12 ( 3 5 10 )

6 ( 3 6 6 )
7 ( 3 6 7 )
8 ( 3 6 8 )
9 ( 3 6 9 )
11 ( 3 6 10 )

7 ( 3 7 7 )
8 ( 3 7 8 )
9 ( 3 7 9 )
10 ( 3 7 10 )

8 ( 3 8 8 )
9 ( 3 8 9 )
10 ( 3 8 10 )

9 ( 3 9 9 )
10 ( 3 9 10 )

10 ( 3 10 10 )

 
4 ( 4 4 4 )
5 ( 4 4 5 )
6 ( 4 4 6 )
7 ( 4 4 7 )
8 ( 4 4 8 )
10 ( 4 4 9 )
12 ( 4 4 10 )

5 ( 4 5 5 )
6 ( 4 5 6 )
7 ( 4 5 7 )
8 ( 4 5 8 )
9 ( 4 5 9 )
11 ( 4 5 10 )

6 ( 4 6 6 )
7 ( 4 6 7 )
8 ( 4 6 8 )
9 ( 4 6 9 )
10 ( 4 6 10 )

7 ( 4 7 7 )
8 ( 4 7 8 )
9 ( 4 7 9 )
10 ( 4 7 10 )

8 ( 4 8 8 )
9 ( 4 8 9 )
10 ( 4 8 10 )

9 ( 4 9 9 )
10 ( 4 9 10 )

10 ( 4 10 10 )

 
5 ( 5 5 5 )
6 ( 5 5 6 )
7 ( 5 5 7 )
8 ( 5 5 8 )
9 ( 5 5 9 )
10 ( 5 5 10 )

6 ( 5 6 6 )
7 ( 5 6 7 )
8 ( 5 6 8 )
9 ( 5 6 9 )
10 ( 5 6 10 )

7 ( 5 7 7 )
8 ( 5 7 8 )
9 ( 5 7 9 )
10 ( 5 7 10 )

8 ( 5 8 8 )
9 ( 5 8 9 )
10 ( 5 8 10 )

9 ( 5 9 9 )
10 ( 5 9 10 )

10 ( 5 10 10 )

 
6 ( 6 6 6 )
7 ( 6 6 7 )
8 ( 6 6 8 )
9 ( 6 6 9 )
10 ( 6 6 10 )

7 ( 6 7 7 )
8 ( 6 7 8 )
9 ( 6 7 9 )
10 ( 6 7 10 )

8 ( 6 8 8 )
9 ( 6 8 9 )
10 ( 6 8 10 )

9 ( 6 9 9 )
10 ( 6 9 10 )

